BookName,ChapterName,CharacterName,Percentile
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.35157232704402513
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3553459119496855
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.369047619047619
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3717430368373764
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3744758909853249
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3805031446540881
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.38448637316561846
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.389937106918239
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4063255926463474
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.40911949685534593
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4466981132075472
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4483551040154814
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4603424178895877
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.46226415094339623
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.464622641509434
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.472458071278826
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.47327044025157233
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.47641509433962265
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4809224318658281
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4852201257861635
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.48697214734950584
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.49312106918238996
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4937106918238994
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.49559748427672956
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5026533018867925
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5068134171907757
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5090845562543677
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5117209834190967
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5210298742138365
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5232990280160091
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5406558849955077
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5695452346395743
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.574172819250752
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5753349740224228
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.58500393081761
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5897798742138365
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5974842767295597
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6019392033542976
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6078616352201258
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6106618748128182
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6157906558849955
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6243347847121432
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6341719077568134
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6387141858839972
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6446540880503144
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6556603773584906
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6703830760434534
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6886792452830188
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6925576519916142
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7009084556254368
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7297094938604372
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7319787131107885
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7334119496855346
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7374213836477987
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7437855645402816
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7484276729559748
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7531446540880503
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7583857442348009
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7610062893081762
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7723619846261356
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7839622641509435
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7955974842767296
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8048817011081162
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8061545372866128
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8326186392224127
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8333333333333334
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8427672955974843
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.848607367475292
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8548456260720412
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8626179245283019
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8742138364779874
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8836477987421384
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9121069182389937
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9150943396226415
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9172714078374455
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9229559748427673
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9353099730458221
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9378468368479468
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9482879105520614
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9557898631150573
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9647798742138365
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9687780772686433
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.97562893081761
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9905660377358491
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5516247379454926
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5534591194968553
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5658131176999102
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5697871311078858
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5711477987421384
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5973584905660377
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6038858939802336
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6067527308838133
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6104372566636718
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.612930077691454
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6147798742138365
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7515723270440252
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7548480083857443
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7578616352201258
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7641509433962265
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7705385220125787
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7924528301886793
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7971698113207547
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8050314465408805
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8228183962264151
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8319039451114922
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8413259958071279
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8429638364779874
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8456873315363881
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8474842767295597
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.8622248427672956
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.889937106918239
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9073899371069182
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9111635220125786
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9166666666666666
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9182389937106918
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9308176100628931
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9371069182389937
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.950774068698597
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9697514225816113
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.9748427672955975
"Immortals of Meluha","CHAPTER 1: He has come","nandi",0.12382075471698113
"Immortals of Meluha","CHAPTER 1: He has come","nandi",0.14116002795248078
"Immortals of Meluha","CHAPTER 1: He has come","nandi",0.14779874213836477
