BookName,ChapterName,CharacterName,Percentile,Sentiment,Sentiment Score
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7484276729559748,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7531446540880503,Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7610062893081762,Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7839622641509435,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7955974842767296,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8326186392224127,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8427672955974843,Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8626179245283019,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.8836477987421384,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9121069182389937,Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9150943396226415,Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9229559748427673,Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9353099730458221,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9687780772686433,Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.9905660377358491,Neutral
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5534591194968553,Positive
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5697871311078858,Negative
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.5711477987421384,Negative
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6038858939802336,Positive
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6104372566636718,Negative
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.6147798742138365,Negative
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7515723270440252,Negative
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7548480083857443,Negative
"Immortals of Meluha","CHAPTER 1: He has come","ayurvati",0.7578616352201258,Positive
